Equipment,Parameter,Range,Frequency,CMC (±),Comments,range_min,range_min_unit,range_max,range_max_unit,frequency_range_min,frequency_range_min_unit,frequency_range_max,frequency_range_max_unit,cmc_base,cmc_multiplier,cmc_mult_unit,cmc_uncertainty_unit
Electrical Conductivity,Measuring Equipment,> 62 % IACS,,0.42 % rdg + 0.05 % IACS,ASTM E1004 electrical conductivity by eddy current,62,% IACS,,,,,,,0.42,0.05,% rdg,% IACS
Torque Wrenches,,(0.5 to 15) ozf∙in,,0.082 % setting + 0.017 ozf∙in,Torque arm and deadweights,0.5,ozf∙in,15,ozf∙in,,,,,0.082,0.017,% setting,ozf∙in
Torque Wrenches,,15 ozf∙in to 2000 lbf∙ft,,0.66 % setting,Torque transducers,15,ozf∙in,2000,lbf∙ft,,,,,0.66,0.0,,% setting
Torque Transducers,,(1.25 to 40) ozf∙in,,0.17 % rdg + 0.0003 ozf∙in,Torque wheel/arms and weights,1.25,ozf∙in,40,ozf∙in,,,,,0.17,0.0003,% rdg,ozf∙in
Torque Transducers,,(2.5 to 100) lbf∙in,,0.12 % rdg,Torque wheel/arms and weights,2.5,lbf∙in,100,lbf∙in,,,,,0.12,0.0,,% rdg
Torque Transducers,,(8.3 to 50) lbf∙ft,,0.11 % rdg,Torque wheel/arms and weights,8.3,lbf∙ft,50,lbf∙ft,,,,,0.11,0.0,,% rdg
Torque Transducers,,(50 to150) lbf∙ft,,0.10 % rdg,Torque wheel/arms and weights,50,lbf∙ft,150,lbf∙ft,,,,,0.1,0.0,,% rdg
Torque Transducers,,(150 to 1200) lbf∙ft,,0.11 % rdg,Torque wheel/arms and weights,150,lbf∙ft,1200,lbf∙ft,,,,,0.11,0.0,,% rdg
Scales and Balances,,(0.5 to 380) g,,(0.037 + 0.000 23W) mg,"Ultra Class weights, Class 1 weights",0.5,g,380,g,,,,,0.037,0.0,23W,mg
Scales and Balances,,(380 to 1800) g,,(0.12 + 0.0001W) mg,"Ultra Class weights, Class 1 weights",380,g,1800,g,,,,,0.12,0.0001,W,mg
Scales and Balances,,(0 to 200) g,,(0.69 + 0.0094W) mg,Class F and 6 weights,0,g,200,g,,,,,0.69,0.0094,W,mg
Scales and Balances,,(200 to 1000) g,,(0.51 + 0.012W) mg,Class F and 6 weights,200,g,1000,g,,,,,0.51,0.012,W,mg
Scales and Balances,,(1 to 16.2) kg,,(26 + 0.0048W) mg,Class F and 6 weights,1,kg,16.2,kg,,,,,26.0,0.0048,W,mg
Scales and Balances,,"(0.1 to 700) lb,",,(260 + 3.5W) mg,"(This instance, “W” = weight in lbs)",0.1,"lb,",700,"lb,",,,,,260.0,3.5,W,mg
Indirect Verification of Rockwell Hardness Testers,HRA,Low,,0.31 HRA,Indirect verification per ASTM E18,Low,,Low,,,,,,0.31,0.0,,HRA
Indirect Verification of Rockwell Hardness Testers,HRA,Medium,,0.32 HRA,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.32,0.0,,HRA
Indirect Verification of Rockwell Hardness Testers,HRA,High,,0.20 HRA,Indirect verification per ASTM E18,High,,High,,,,,,0.2,0.0,,HRA
Indirect Verification of Rockwell Hardness Testers,HRBW,Low,,0.36 HRBW,Indirect verification per ASTM E18,Low,,Low,,,,,,0.36,0.0,,HRBW
Indirect Verification of Rockwell Hardness Testers,HRBW,Medium,,0.26 HRBW,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.26,0.0,,HRBW
Indirect Verification of Rockwell Hardness Testers,HRBW,High,,0.39 HRBW,Indirect verification per ASTM E18,High,,High,,,,,,0.39,0.0,,HRBW
Indirect Verification of Rockwell Hardness Testers,HRC,Low,,0.39 HRC,Indirect verification per ASTM E18,Low,,Low,,,,,,0.39,0.0,,HRC
Indirect Verification of Rockwell Hardness Testers,HRC,Medium,,0.33 HRC,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.33,0.0,,HRC
Indirect Verification of Rockwell Hardness Testers,HRC,High,,0.32 HRC,Indirect verification per ASTM E18,High,,High,,,,,,0.32,0.0,,HRC
Indirect Verification of Rockwell Hardness Testers,HREW,Low,,0.38 HREW,Indirect verification per ASTM E18,Low,,Low,,,,,,0.38,0.0,,HREW
Indirect Verification of Rockwell Hardness Testers,HREW,Medium,,0.49 HREW,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.49,0.0,,HREW
Indirect Verification of Rockwell Hardness Testers,HREW,High,,0.49 HREW,Indirect verification per ASTM E18,High,,High,,,,,,0.49,0.0,,HREW
Indirect Verification of Rockwell Hardness Testers,HRFW,Low,,0.28 HRFW,Indirect verification per ASTM E18,Low,,Low,,,,,,0.28,0.0,,HRFW
Indirect Verification of Rockwell Hardness Testers,HRFW,Medium,,0.46 HRFW,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.46,0.0,,HRFW
Indirect Verification of Rockwell Hardness Testers,HRFW,High,,0.45 HRFW,Indirect verification per ASTM E18,High,,High,,,,,,0.45,0.0,,HRFW
Indirect Verification of Rockwell Hardness Testers,HRHW,Low,,0.42 HRHW,Indirect verification per ASTM E18,Low,,Low,,,,,,0.42,0.0,,HRHW
Indirect Verification of Rockwell Hardness Testers,HRHW,High,,0.36 HRHW,Indirect verification per ASTM E18,High,,High,,,,,,0.36,0.0,,HRHW
Indirect Verification of Rockwell Hardness Testers,HR15N,Low,,0.42 HR15N,Indirect verification per ASTM E18,Low,,Low,,,,,,0.42,0.0,,HR15N
Indirect Verification of Rockwell Hardness Testers,HR15N,Medium,,0.42 HR15N,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.42,0.0,,HR15N
Indirect Verification of Rockwell Hardness Testers,HR15N,High,,0.51 HR15N,Indirect verification per ASTM E18,High,,High,,,,,,0.51,0.0,,HR15N
Indirect Verification of Rockwell Hardness Testers,HR30N,Low,,0.30 HR30N,Indirect verification per ASTM E18,Low,,Low,,,,,,0.3,0.0,,HR30N
Indirect Verification of Rockwell Hardness Testers,HR30N,Medium,,0.47 HR30N,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.47,0.0,,HR30N
Indirect Verification of Rockwell Hardness Testers,HR30N,High,,0.53 HR30N,Indirect verification per ASTM E18,High,,High,,,,,,0.53,0.0,,HR30N
Indirect Verification of Rockwell Hardness Testers,HR45N,Low,,0.50 HR45N,Indirect verification per ASTM E18,Low,,Low,,,,,,0.5,0.0,,HR45N
Indirect Verification of Rockwell Hardness Testers,HR45N,Medium,,0.25 HR45N,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.25,0.0,,HR45N
Indirect Verification of Rockwell Hardness Testers,HR45N,High,,0.20 HR45N,Indirect verification per ASTM E18,High,,High,,,,,,0.2,0.0,,HR45N
Indirect Verification of Rockwell Hardness Testers,HR15TW,Low,,0.44 HR15TW,Indirect verification per ASTM E18,Low,,Low,,,,,,0.44,0.0,,HR15TW
Indirect Verification of Rockwell Hardness Testers,HR15TW,Medium,,0.39 HR15TW,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.39,0.0,,HR15TW
Indirect Verification of Rockwell Hardness Testers,HR15TW,High,,0.32 HR15TW,Indirect verification per ASTM E18,High,,High,,,,,,0.32,0.0,,HR15TW
Indirect Verification of Rockwell Hardness Testers,HR30TW,Low,,0.58 HR30TW,Indirect verification per ASTM E18,Low,,Low,,,,,,0.58,0.0,,HR30TW
Indirect Verification of Rockwell Hardness Testers,HR30TW,Medium,,0.64 HR30TW,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.64,0.0,,HR30TW
Indirect Verification of Rockwell Hardness Testers,HR30TW,High,,0.22 HR30TW,Indirect verification per ASTM E18,High,,High,,,,,,0.22,0.0,,HR30TW
Indirect Verification of Rockwell Hardness Testers,HR45TW,Low,,0.70 HR45TW,Indirect verification per ASTM E18,Low,,Low,,,,,,0.7,0.0,,HR45TW
Indirect Verification of Rockwell Hardness Testers,HR45TW,Medium,,0.40 HR45TW,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.4,0.0,,HR45TW
Indirect Verification of Rockwell Hardness Testers,HR45TW,High,,0.39 HR45TW,Indirect verification per ASTM E18,High,,High,,,,,,0.39,0.0,,HR45TW
Direct Verification of Rockwell Hardness Testers,Verification of Test,(3 to 15) kgf,,0.005 kgf + 0.03 % rdg,Verification of test force by load cell,3,kgf,15,kgf,,,,,0.005,0.03,kgf,% rdg
Direct Verification of Rockwell Hardness Testers,Force,(30 to 150) kgf,,0.049 kgf + 0.02 % rdg,Verification of test force by load cell,30,kgf,150,kgf,,,,,0.049,0.02,kgf,% rdg
Direct Verification of Rockwell Hardness Testers,Verification of Depth-Measuring,(0 to 260) µm,,0.31 µm,Per direct verification method of ASTM E18,0,µm,260,µm,,,,,0.31,0.0,,µm
Direct Verification of Rockwell Hardness Testers,Verification of,---,,0.25 Rockwell Points,Per direct verification method of ASTM E18,,,---,---,,,,,0.25,0.0,,Rockwell Points
Indirect Verification of Brinell Hardness Testers at Test Condition(s),10/3000/15; Repeatability:,≤ 225 HBW,,0.024D,D is the mean of the n mean test diameters in millimeters,,,225,HBW,,,,,0.024,0.0,,
Indirect Verification of Brinell Hardness Testers at Test Condition(s),10/3000/15; Repeatability:,(> 225 to 650) HBW,,0.013D,Error uncertainty is stated as a percentage of the standardized test block value,225,HBW,650,HBW,,,,,0.013,0.0,,
Indirect Verification of Brinell Hardness Testers at Test Condition(s),10/3000/15; Error:,,,1.5 %,Error uncertainty is stated as a percentage of the standardized test block value,,,,,,,,,1.5,0.0,,%
Indirect Verification of Brinell Hardness Testers at Test Condition(s),10/500/15; Repeatability:,(40 to 126) HBW,,0.024D,Error uncertainty is stated as a percentage of the standardized test block value,40,HBW,126,HBW,,,,,0.024,0.0,,
Indirect Verification of Brinell Hardness Testers at Test Condition(s),10/500/15; Error:,,,1.9 %,Error uncertainty is stated as a percentage of the standardized test block value,,,,,,,,,1.9,0.0,,%
Indirect Verification of Microindentation Hardness Testers (Knoop and Vickers),Vickers:,< 240 HV,,4.3 HV,ASTM E384 and E92,,,240,HV,,,,,4.3,0.0,,HV
Indirect Verification of Microindentation Hardness Testers (Knoop and Vickers),Vickers:,(240 to 600) HV,,10 HV,ASTM E384 and E92,240,HV,600,HV,,,,,10,0.0,,HV
Indirect Verification of Microindentation Hardness Testers (Knoop and Vickers),Vickers:,> 600 HV,,13 HV,ASTM E384 and E92,600,HV,,,,,,,13,0.0,,HV
Indirect Verification of Microindentation Hardness Testers (Knoop and Vickers),Knoop:,< 250 HK,,5.2 HK,ASTM E384 and E92,,,250,HK,,,,,5.2,0.0,,HK
Indirect Verification of Microindentation Hardness Testers (Knoop and Vickers),Knoop:,(250 to 650) HK,,12 HK,ASTM E384 and E92,250,HK,650,HK,,,,,12,0.0,,HK
Indirect Verification of Microindentation Hardness Testers (Knoop and Vickers),Knoop:,> 650 HK,,15 HK,ASTM E384 and E92,650,HK,,,,,,,15,0.0,,HK
Pressure,Absolute & Barometric Pressure,(0 to 35) in·Hg,,0.0034 in·Hg,Mensor CPG system,0,in·Hg,35,in·Hg,,,,,0.0034,0.0,,in·Hg
Pressure,Differential & Gage Pressure,(0 to 30) in·H₂O,,0.0029 in·H₂O,Mensor CPG system,0,in·H₂O,30,in·H₂O,,,,,0.0029,0.0,,in·H₂O
Pressure,Differential & Gage Pressure,(0 to 5) psi,,0.000 47 psi,Mensor CPG system,0,psi,5,psi,,,,,0.0,0.0,,47 psi
Pressure,Differential & Gage Pressure,(5 to 15) psi,,0.0015 psi,Mensor CPG system,5,psi,15,psi,,,,,0.0015,0.0,,psi
Pressure,Differential & Gage Pressure,(10 to 500) psi,,0.002 psi + 0.018 % rdg,Deadweight tester,10,psi,500,psi,,,,,0.002,0.018,psi,% rdg
Pressure,Differential & Gage Pressure,(200 to 10 000) psi,,0.034 psi + 0.018 % rdg,Deadweight tester,200,psi,10000,psi,,,,,0.034,0.018,psi,% rdg
Vacuum,Measure and Measuring Equipment,(0 to 28.5) in·Hg,,0.0033 in·Hg,Mensor CPG system,0,in·Hg,28.5,in·Hg,,,,,0.0033,0.0,,in·Hg
Thermometers,,(-112 °F to 32) °F,,0.048 °F,"PRT, Fluke 1502A",-112,°F,32,°F,,,,,0.048,0.0,,°F
Thermometers,,(32 °F to 212) °F,,0.041 °F,"PRT, Fluke 1502A",32,°F,212,°F,,,,,0.041,0.0,,°F
Thermometers,,(212 °F to 392) °F,,0.047 °F,"PRT, Fluke 1502A",212,°F,392,°F,,,,,0.047,0.0,,°F
Thermometers,,(392 to 752) °F,,0.098 °F,"PRT, Fluke 1502A",392,°F,752,°F,,,,,0.098,0.0,,°F
Thermocouples,Type E,(-112 to -22) °F,,0.19 °F,"Type ""S"" platinum standard T/C above",-112,°F,-22,°F,,,,,0.19,0.0,,°F
Thermocouples,Type E,(-22 to 752) °F,,0.18 °F,"Type ""S"" platinum standard T/C above",-22,°F,752,°F,,,,,0.18,0.0,,°F
Thermocouples,Type E,(752 to 1200) °F,,2.0 °F,"752 °F, PRT below",752,°F,1200,°F,,,,,2.0,0.0,,°F
Thermocouples,Type E,(1200 to 1832) °F,,2.2 °F,"752 °F, Fluke 1502A, Fluke 8846A",1200,°F,1832,°F,,,,,2.2,0.0,,°F
Thermocouples,Type J,(-112 to -22) °F,,0.20 °F,"752 °F, Fluke 1502A, Fluke 8846A",-112,°F,-22,°F,,,,,0.2,0.0,,°F
Thermocouples,Type J,(-22 to 752) °F,,0.21 °F,"752 °F, Fluke 1502A, Fluke 8846A",-22,°F,752,°F,,,,,0.21,0.0,,°F
Thermocouples,Type J,(752 to 1200) °F,,1.5 °F,"752 °F, Fluke 1502A, Fluke 8846A",752,°F,1200,°F,,,,,1.5,0.0,,°F
Thermocouples,Type J,(1200 to 2000) °F,,2.0 °F,"752 °F, Fluke 1502A, Fluke 8846A",1200,°F,2000,°F,,,,,2.0,0.0,,°F
Thermocouples,Type J,(2000 to 2192) °F,,2.7 °F,"752 °F, Fluke 1502A, Fluke 8846A",2000,°F,2192,°F,,,,,2.7,0.0,,°F
Thermocouples,Type K,(-112 to -22) °F,,0.22 °F,"752 °F, Fluke 1502A, Fluke 8846A",-112,°F,-22,°F,,,,,0.22,0.0,,°F
Thermocouples,Type K,(-22 to 752) °F,,0.24 °F,"752 °F, Fluke 1502A, Fluke 8846A",-22,°F,752,°F,,,,,0.24,0.0,,°F
Thermocouples,Type K,(752 to 1200) °F,,1.5 °F,"752 °F, Fluke 1502A, Fluke 8846A",752,°F,1200,°F,,,,,1.5,0.0,,°F
Thermocouples,Type K,(1200 to 2000) °F,,2.0 °F,"752 °F, Fluke 1502A, Fluke 8846A",1200,°F,2000,°F,,,,,2.0,0.0,,°F
Thermocouples,Type K,(2000 to 2500) °F,,3.2 °F,"752 °F, Fluke 1502A, Fluke 8846A",2000,°F,2500,°F,,,,,3.2,0.0,,°F
Thermocouples,Type N,(-112 to -22) °F,,0.28 °F,"752 °F, Fluke 1502A, Fluke 8846A",-112,°F,-22,°F,,,,,0.28,0.0,,°F
Thermocouples,Type N,(-22 to 752) °F,,0.26 °F,"752 °F, Fluke 1502A, Fluke 8846A",-22,°F,752,°F,,,,,0.26,0.0,,°F
Thermocouples,Type N,(752 to 1200) °F,,1.6 °F,"752 °F, Fluke 1502A, Fluke 8846A",752,°F,1200,°F,,,,,1.6,0.0,,°F
Thermocouples,Type N,(1200 to 2000) °F,,2.1 °F,"752 °F, Fluke 1502A, Fluke 8846A",1200,°F,2000,°F,,,,,2.1,0.0,,°F
Thermocouples,Type N,(2000 to 2372) °F,,2.9 °F,"752 °F, Fluke 1502A, Fluke 8846A",2000,°F,2372,°F,,,,,2.9,0.0,,°F
Thermocouples,Type R,(32 to 752) °F,,0.81 °F,"752 °F, Fluke 1502A, Fluke 8846A",32,°F,752,°F,,,,,0.81,0.0,,°F
Thermocouples,Type R,(752 to 1200) °F,,1.6 °F,"752 °F, Fluke 1502A, Fluke 8846A",752,°F,1200,°F,,,,,1.6,0.0,,°F
Thermocouples,Type R,(1200 to 2000) °F,,2.0 °F,"752 °F, Fluke 1502A, Fluke 8846A",1200,°F,2000,°F,,,,,2.0,0.0,,°F
Thermocouples,Type R,(2000 to 2500) °F,,3.3 °F,"752 °F, Fluke 1502A, Fluke 8846A",2000,°F,2500,°F,,,,,3.3,0.0,,°F
Thermocouples,Type S,(32 to 752) °F,,0.81 °F,"752 °F, Fluke 1502A, Fluke 8846A",32,°F,752,°F,,,,,0.81,0.0,,°F
Thermocouples,Type S,(752 to 1200) °F,,1.6 °F,"752 °F, Fluke 1502A, Fluke 8846A",752,°F,1200,°F,,,,,1.6,0.0,,°F
Thermocouples,Type S,(1200 to 2000) °F,,2.0 °F,"752 °F, Fluke 1502A, Fluke 8846A",1200,°F,2000,°F,,,,,2.0,0.0,,°F
Thermocouples,Type S,(2000 to 2500) °F,,3.2 °F,"752 °F, Fluke 1502A, Fluke 8846A",2000,°F,2500,°F,,,,,3.2,0.0,,°F
Thermocouples,Type T,(-112 to -22) °F,,0.23 °F,"752 °F, Fluke 1502A, Fluke 8846A",-112,°F,-22,°F,,,,,0.23,0.0,,°F
Thermocouples,Type T,(-22 to 752) °F,,0.20 °F,"752 °F, Fluke 1502A, Fluke 8846A",-22,°F,752,°F,,,,,0.2,0.0,,°F
Thermocouples,Type R,(32 to 752) °F,,0.81 °F,"Above 752 °F, comparison with NIST ref. standard below 752 °F, PRT, Fluke 1502A, Fluke",32,°F,752,°F,,,,,0.81,0.0,,°F
Thermocouples,Type R,(752 to 1200) °F,,1.0 °F,"Above 752 °F, comparison with NIST ref. standard below 752 °F, PRT, Fluke 1502A, Fluke",752,°F,1200,°F,,,,,1.0,0.0,,°F
Thermocouples,Type R,(1200 to 2000) °F,,1.2 °F,"Above 752 °F, comparison with NIST ref. standard below 752 °F, PRT, Fluke 1502A, Fluke",1200,°F,2000,°F,,,,,1.2,0.0,,°F
Thermocouples,Type R,(2000 to 2500) °F,,3.2 °F,"Above 752 °F, comparison with NIST ref. standard below 752 °F, PRT, Fluke 1502A, Fluke",2000,°F,2500,°F,,,,,3.2,0.0,,°F
Thermocouples,Type S,(32 to 752) °F,,0.81 °F,8846A,32,°F,752,°F,,,,,0.81,0.0,,°F
Thermocouples,Type S,(752 to 1200) °F,,1.0 °F,8846A,752,°F,1200,°F,,,,,1.0,0.0,,°F
Thermocouples,Type S,(1200 to 2000) °F,,1.2 °F,8846A,1200,°F,2000,°F,,,,,1.2,0.0,,°F
Thermocouples,Type S,(2000 to 2500) °F,,3.2 °F,8846A,2000,°F,2500,°F,,,,,3.2,0.0,,°F
Temperature Uniformity Survey,,(-100 to 392) °F,,1.4 °F,"IoTech DaqBook, with expendable and non- expendable thermocouples",-100,°F,392,°F,,,,,1.4,0.0,,°F
Temperature Uniformity Survey,,(392 to 752) °F,,3.1 °F,"IoTech DaqBook, with expendable and non- expendable thermocouples",392,°F,752,°F,,,,,3.1,0.0,,°F
(Per AMS 2750),,(752 to 1200) °F,,3.1 °F,"IoTech DaqBook, with expendable and non- expendable thermocouples",752,°F,1200,°F,,,,,3.1,0.0,,°F
(Per AMS 2750),,(1200 to 1800) °F,,3.7 °F,"IoTech DaqBook, with expendable and non- expendable thermocouples",1200,°F,1800,°F,,,,,3.7,0.0,,°F
(Per AMS 2750),,(1800 to 2300) °F,,4.1 °F,"IoTech DaqBook, with expendable and non- expendable thermocouples",1800,°F,2300,°F,,,,,4.1,0.0,,°F
"Temperature Probe (""SAT"" per AMS 2750)",,(-112 to 392) °F,,0.64 °F,"Fluke 726 or equivalent, expendable and non-expendable thermocouples",-112,°F,392,°F,,,,,0.64,0.0,,°F
"Temperature Probe (""SAT"" per AMS 2750)",,(392 to 752) °F,,0.76 °F,"Fluke 726 or equivalent, expendable and non-expendable thermocouples",392,°F,752,°F,,,,,0.76,0.0,,°F
"Temperature Probe (""SAT"" per AMS 2750)",,(752 to 1200) °F,,1.8 °F,"Fluke 726 or equivalent, expendable and non-expendable thermocouples",752,°F,1200,°F,,,,,1.8,0.0,,°F
"Temperature Probe (""SAT"" per AMS 2750)",,(1200 to 2000) °F,,2.4 °F,"Fluke 726 or equivalent, expendable and non-expendable thermocouples",1200,°F,2000,°F,,,,,2.4,0.0,,°F
"Temperature Probe (""SAT"" per AMS 2750)",,(1800 to 2372) °F,,3.2 °F,"Fluke 726 or equivalent, expendable and non-expendable thermocouples",1800,°F,2372,°F,,,,,3.2,0.0,,°F
Infrared Thermometers,,(95 to 212) °F,,1.2 °F,Hart 4181 black body Emissivity- 0.95,95,°F,212,°F,,,,,1.2,0.0,,°F
Infrared Thermometers,,(212 to 392) °F,,1.6 °F,Hart 4181 black body Emissivity- 0.95,212,°F,392,°F,,,,,1.6,0.0,,°F
Infrared Thermometers,,(392 to 662) °F,,2.7 °F,Hart 4181 black body Emissivity- 0.95,392,°F,662,°F,,,,,2.7,0.0,,°F
Infrared Thermometers,,(662 to 932) °F,,3.7 °F,Hart 4181 black body Emissivity- 0.95,662,°F,932,°F,,,,,3.7,0.0,,°F
Relative Humidity,Measuring Equipment,(10 to 95) % RH,,0.85 % RH,EdgeTech chilled mirror hygrometer,10,% RH,95,% RH,,,,,0.85,0.0,,% RH
Dewpoint,Measuring Equipment,(-20 to 65) °C,,0.14 °C,EdgeTech chilled mirror hygrometer,-20,°C,65,°C,,,,,0.14,0.0,,°C
Frequency,Measure,(1 to 40) Hz,,0.06 % rdg,HP3458A,1,Hz,40,Hz,,,,,0.06,0.0,,% rdg
Frequency,Measure,40 Hz to 10 MHz,,0.012 % rdg,HP3458A,40,Hz,10,MHz,,,,,0.012,0.0,,% rdg
Frequency,Measuring Equipment,Up to 120 Hz,,28 µHz/Hz + 0.0016 Hz,Fluke 5502A,,,120,Hz,,,,,28.0,0.0016,µHz/Hz,Hz
Frequency,Measuring Equipment,(0.12 to 1.2) kHz,,25 µHz/Hz + 0.0077 Hz,Fluke 5502A,0.12,kHz,1.2,kHz,,,,,25.0,0.0077,µHz/Hz,Hz
Frequency,Measuring Equipment,(1.2 to 12) kHz,,25 µHz/Hz + 0.071 Hz,Fluke 5502A,1.2,kHz,12,kHz,,,,,25.0,0.071,µHz/Hz,Hz
Frequency,Measuring Equipment,(12 to 120) kHz,,29 µHz/Hz + 18 Hz,Fluke 5502A,12,kHz,120,kHz,,,,,29.0,18.0,µHz/Hz,Hz
Frequency,Measuring Equipment,(0.12 to 1.2) MHz,,29 µHz/Hz + 20 Hz,Fluke 5502A,0.12,MHz,1.2,MHz,,,,,29.0,20.0,µHz/Hz,Hz
Frequency,Measuring Equipment,(1.2 to 2) MHz,,0.020 % rdg,Fluke 5502A,1.2,MHz,2,MHz,,,,,0.02,0.0,,% rdg
"Timers, Stopwatches",,15 s to 10 min,,0.038 s + 0.0025 % of timed interval,Reference stopwatch,15,s,10,min,,,,,0.038,0.0025,s,% of timed interval
"Timers, Stopwatches",,10 min to 24 hrs,,0.038 s + 0.0041 % of timed interval,Reference stopwatch,10,min,24,hrs,,,,,0.038,0.0041,s,% of timed interval
"Timers, Stopwatches",,(2 to 24) hrs,,0.038 s,WWV signal,2,hrs,24,hrs,,,,,0.038,0.0,,s
